Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
5	8	22	2	4	5	YBL030C
5	8	24	2	4	6	YGR287C
5	9	3	2	4	7	YJR130C
5	9	5	2	4	8	YPL130W
5	9	7	2	4	9	YDR514C
5	9	8	2	4	10	YNL058C
5	9	9	2	4	11	YPR139C
5	9	10	2	4	12	YLR139C
5	9	12	2	4	13	YKR008W
5	9	13	2	4	14	YIL097W
5	9	14	2	4	15	YEL039C
5	9	16	2	4	16	YOR323C
5	9	17	2	4	17	YBR272C
5	9	21	2	4	18	YER005W
5	9	24	2	4	19	YMR326C
5	10	3	2	4	20	YJL083W
5	10	4	2	4	21	YOR118W
5	10	7	2	4	22	YDL065C
5	10	8	2	4	23	YPL026C
5	10	12	2	4	24	YML014W
5	10	14	2	5	1	YPR023C
5	10	16	2	5	2	YER062C
5	10	17	2	5	3	YKL135C
5	10	19	2	5	4	YPR134W
5	10	20	2	5	5	YMR032W
5	10	21	2	5	6	YFL053W
5	10	23	2	5	7	YDL185W
5	10	24	2	5	8	YHL046C
5	11	1	2	5	9	YJL033W
5	11	3	2	5	10	YKL052C
5	11	4	2	5	11	YPL153C
5	11	5	2	5	12	YGL025C
5	11	6	2	5	13	YMR070W
5	11	7	2	5	14	YGL224C
5	11	8	2	5	15	YLR057W
5	11	15	2	5	16	YIL109C
5	11	16	2	5	17	YPR080W
5	11	17	2	5	18	YBR283C
5	11	20	2	5	19	YNL188W
5	11	24	2	5	20	YHR026W
5	12	1	2	5	21	YHL038C
5	12	4	2	5	22	YOL141W
5	12	6	2	5	23	YPL129W
5	12	12	2	5	24	YLR404W
5	12	13	2	6	1	YGL232W
5	12	15	2	6	2	YFR021W
5	12	17	2	6	3	YKL168C
5	12	18	2	6	4	YML123C
5	12	20	2	6	5	YMR061W
5	12	21	2	6	6	YFL049W
5	12	22	2	6	7	YGL258W
5	12	23	2	6	8	YER018C
5	13	1	2	6	9	YJL201W
5	13	4	2	6	10	YPL209C
5	13	5	2	6	11	YGR234W
5	13	6	2	6	12	YMR083W
5	13	7	2	6	13	YGL221C
5	13	8	2	6	14	YLR060W
5	13	15	2	6	15	YJL035C
5	13	16	2	6	16	YPR111W
5	13	18	2	6	17	YOR264W
5	13	19	2	6	18	YDL237W
5	13	21	2	6	19	YPL244C
5	13	22	2	6	20	YMR006C
5	13	23	2	6	21	YPR114W
5	13	24	2	6	22	YER019C-A
5	14	1	2	6	23	YHR153C
5	14	2	2	6	24	YIL137C
5	14	3	2	7	1	YKR014C
5	14	7	2	7	2	YDL193W
5	14	8	2	7	3	YBR086C
5	14	10	2	7	4	YLR291C
5	14	12	2	7	5	YLR448W
5	14	13	2	7	6	YGL248W
5	14	15	2	7	7	YJR145C
5	14	18	2	7	8	YMR063W
5	14	20	2	7	9	YMR104C
5	14	21	2	7	10	YAR008W
5	14	24	2	7	11	YBL112C
5	15	1	2	7	12	YJR095W
5	15	2	2	7	13	YCR096C
5	15	3	2	7	14	YBR242W
5	15	4	2	7	15	YNL061W
5	15	5	2	7	16	YGR124W
5	15	6	2	7	17	YMR095C
5	15	8	2	7	18	YLR071C
5	15	9	2	7	19	YDR540C
5	15	10	2	7	20	YML027W
5	15	11	2	7	21	YNL047C
5	15	12	2	7	22	YHR142W
5	15	14	2	7	23	YER120W
5	15	15	2	7	24	YJL043W
5	15	16	2	8	1	YCR039C
5	15	17	2	8	2	YLR300W
5	15	18	2	8	3	YOR266W
5	15	20	2	8	4	YNL240C
5	15	21	2	8	5	YPL255W
5	15	22	2	8	6	YMR008C
5	16	3	2	8	7	YKL181W
5	16	4	2	8	8	YOR204W
5	16	5	2	8	9	YDL201W
5	16	6	2	8	10	YPL088W
5	16	7	2	8	11	YDL001W
5	16	8	2	8	12	YBR079C
5	16	12	2	8	13	YPL115C
5	16	13	2	8	14	YGL148W
5	16	18	2	8	15	YMR157C
5	16	19	2	8	16	YFL058W
6	1	5	2	8	17	YOL065C
6	1	6	2	8	18	YJL191W
6	1	7	2	8	19	YPL280W
6	1	8	2	8	20	YOR237W
6	1	13	2	8	21	YJL162C
6	1	20	2	8	22	YBR222C
6	1	21	2	8	23	YOL144W
6	1	23	2	8	24	YBR250W
6	1	24	2	9	1	YPL206C
6	2	5	2	9	2	YDR474C
6	2	23	2	9	3	YLR002C
6	3	1	2	9	4	YIL066C
6	3	3	2	9	5	YNL320W
6	3	8	2	9	6	YOR239W
6	3	9	2	9	7	YML026C
6	3	10	2	9	8	YBL026W
6	3	14	2	9	9	YLR284C
6	3	17	2	9	10	YDL064W
6	3	21	2	9	11	YOR003W
6	3	23	2	9	12	YBR274W
6	4	2	2	9	13	YML120C
6	4	4	2	9	14	YBR158W
6	4	15	2	9	15	YKL046C
6	5	4	2	9	16	YIL111W
6	5	5	2	9	17	YOR327C
6	5	6	2	9	18	YOR129C
6	5	7	2	9	19	YDL022W
6	5	8	2	9	20	YOR283W
6	5	13	2	9	21	YJR052W
6	5	20	2	9	22	YNL080C
6	5	22	2	9	23	YOR234C
6	6	2	2	9	24	YOR074C
6	6	3	2	10	1	YDL159W
6	6	5	2	10	2	YEL069C
6	6	6	2	10	3	YIL045W
6	6	10	2	10	4	YNR069C
6	6	15	2	10	5	YKR063C
6	6	21	2	10	6	YLL018C
6	6	23	2	10	7	YMR240C
6	7	3	2	10	8	YNL246W
