Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
2	16	16	1	16	24	YNL259C
2	16	21	2	1	1	YHR071W
3	1	5	2	1	2	YMR150C
3	1	9	2	1	3	YOL149W
3	1	10	2	1	4	YHR053C
3	1	18	2	1	5	YLR073C
3	2	4	2	1	6	YLR064W
3	2	5	2	1	7	YNL191W
3	2	7	2	1	8	YNL324W
3	2	8	2	1	9	YDR537C
3	2	10	2	1	10	YGL042C
3	2	12	2	1	11	YOR300W
3	2	14	2	1	12	YPR123C
3	2	16	2	1	13	YCR104W
3	2	17	2	1	14	YKL170W
3	2	24	2	1	15	YOL142W
3	3	2	2	1	16	YBR089C-A
3	3	4	2	1	17	YDR100W
3	3	5	2	1	18	YMR146C
3	3	7	2	1	19	YNR057C
3	3	12	2	1	20	YHR044C
3	3	20	2	1	21	YIL098C
3	3	22	2	1	22	YGL230C
3	4	1	2	1	23	YOL160W
3	4	3	2	1	24	YOR084W
3	4	6	2	2	1	YKL131W
3	4	7	2	2	2	YNL335W
3	4	8	2	2	3	YEL017C-A
3	4	10	2	2	4	YGL053W
3	4	11	2	2	5	YML010W-A
3	4	13	2	2	6	YMR046W-A
3	4	14	2	2	7	YPR130C
3	4	17	2	2	8	YFL020C
3	4	18	2	2	9	YDL152W
3	4	22	2	2	10	YOL050C
3	4	23	2	2	11	YAR068W
3	4	24	2	2	12	YOL129W
3	5	3	2	2	13	YMR134W
3	5	6	2	2	14	YGL096W
3	5	7	2	2	15	YOL029C
3	5	8	2	2	16	YGL100W
3	5	18	2	2	17	YLR124W
3	5	24	2	2	18	YIL024C
3	6	1	2	2	19	YOR016C
3	6	2	2	2	20	YMR193C-A
3	6	3	2	2	21	YOR082C
3	6	4	2	2	22	YLR059C
3	6	6	2	2	23	YKL169C
3	6	9	2	2	24	YNR052C
3	6	13	2	3	1	YMR052C-A
3	6	14	2	3	2	YPR142C
3	6	16	2	3	3	YDL023C
3	6	18	2	3	4	YGL261C
3	6	21	2	3	5	YGR290W
3	6	22	2	3	6	YOL067C
3	6	24	2	3	7	YOL131W
3	7	2	2	3	8	YBL095W
3	7	8	2	3	9	YFR007W
3	7	9	2	3	10	YOR257W
3	7	18	2	3	11	YLR255C
3	7	21	2	3	12	YAR064W
3	7	23	2	3	13	YFL032W
3	8	1	2	3	14	YOR020C
3	8	5	2	3	15	YNL203C
3	8	7	2	3	16	YNL328C
3	8	8	2	3	17	YBL107W-A
3	8	9	2	3	18	YNR042W
3	8	10	2	3	19	YOR331C
3	8	13	2	3	20	YMR075C-A
3	8	14	2	3	21	YPR150W
3	8	15	2	3	22	YNL105W
3	8	16	2	3	23	YDL026W
3	8	17	2	3	24	YLL025W
3	8	21	2	4	1	YGR293C
3	8	22	2	4	2	YOL077W-A
3	9	2	2	4	3	YBR187W
3	9	3	2	4	4	YMR122C
3	9	10	2	4	5	YGR272C
3	9	11	2	4	6	YPL047W
3	9	15	2	4	7	YEL035C
3	9	17	2	4	8	YER039C
3	10	3	2	4	9	YOR111W
3	10	4	2	4	10	YLR091W
3	10	5	2	4	11	YDL119C
3	10	6	2	4	12	YJL067W
3	10	7	2	4	13	YNR005C
3	10	9	2	4	14	YOL018C
3	10	11	2	4	15	YML106W
3	10	12	2	4	16	YPL185W
3	10	14	2	4	17	YCR040W
3	10	15	2	4	18	YNL155W
3	10	16	2	4	19	YDL034W
3	10	18	2	4	20	YOR146W
3	10	19	2	4	21	YGR176W
3	10	21	2	4	22	YAL068C
3	11	4	2	4	23	YDR113C
3	11	11	2	4	24	YPL052W
3	11	13	2	5	1	YEL003W
3	11	20	2	5	2	YJR104C
3	12	2	2	5	3	YBR206W
3	12	3	2	5	4	YBL071C
3	12	7	2	5	5	YNR028W
3	12	10	2	5	6	YOR309C
3	12	11	2	5	7	YML095C-A
3	12	12	2	5	8	YPL197C
3	12	13	2	5	9	YMR158W-A
3	12	14	2	5	10	YCR062W
3	12	16	2	5	11	YDL068W
